Zipcode,year,POPULATION,CARE_PROPORTION,FOOD_PROPORTION,GYM_PROPORTION,HOUSING_RATE,Income,PHARMACY_PROPORTION,POP_18_24_BACH,POP_18_24_CS_AS,POP_18_24_HS,POP_18_24_LT_HS,POP_18_24_TOTAL,POP_25OVER_9_12_NODIP,POP_25OVER_ASSOC,POP_25OVER_BACH,POP_25OVER_GRAD_PRO,POP_25OVER_HS,POP_25OVER_LT_9TH,POP_25OVER_SOME_COL,POP_25OVER_TOTAL,RESTAURANT_PROPORTION,TOT_HISP_LATINO,TOT_NOT_HISP_AIAN,TOT_NOT_HISP_ASIAN,TOT_NOT_HISP_BLACK,TOT_NOT_HISP_NHPI,TOT_NOT_HISP_OTHER_RACE,TOT_NOT_HISP_WHITE,gyms,pharmacy,restaurant,total_sum_care,total_sum_food,PROP_18_24_LT_HS,PROP_18_24_HS,PROP_18_24_CS_AS,PROP_18_24_BACH,Education_Level,POP_18_24_LT_HS_PROP,POP_18_24_HS_PROP,POP_18_24_CS_AS_PROP,POP_18_24_BACH_PROP,Lower_Education_18_24,Medium_Education_18_24,Higher_Education_18_24,Lower_Education_18_24_PROP,Medium_Education_18_24_PROP,Higher_Education_18_24_PROP,POP_25OVER_LT_9TH_PROP,POP_25OVER_9_12_NODIP_PROP,POP_25OVER_HS_PROP,POP_25OVER_SOME_COL_PROP,POP_25OVER_ASSOC_PROP,POP_25OVER_BACH_PROP,POP_25OVER_GRAD_PRO_PROP,Lower_Education,Medium_Education,Higher_Education,Lower_Education_PROP,Medium_Education_PROP,Higher_Education_PROP,RACE_TOTAL,TOT_HISP_LATINO_PROP,TOT_NOT_HISP_WHITE_PROP,TOT_NOT_HISP_BLACK_PROP,TOT_NOT_HISP_AIAN_PROP,TOT_NOT_HISP_ASIAN_PROP,TOT_NOT_HISP_NHPI_PROP,TOT_NOT_HISP_OTHER_RACE_PROP,Income_Bin,Income_Low,Income_Medium,Income_High,HOUSING_RATE_Bin,HOUSING_RATE_Low,HOUSING_RATE_Medium,HOUSING_RATE_High,Income_Low,Income_Medium,Income_High,HOUSING_RATE_bin,HOUSING_RATE_Low,HOUSING_RATE_Medium,HOUSING_RATE_High
46001,2015,10011,0,0,0,-0.932721881,-0.637586264,0,0.329411765,0.287841191,0.434951456,0.104477612,0.282589676,1.057040998,0.441196938,0.328867761,0.331728665,0.729387487,0.847583643,0.628505681,0.555695142,0,0.227665706,0.130434783,0.099009901,0.159383033,0.25,0.266666667,0.704773454,0,0,0,0,0,0.369714893,1.539162584,1.018583534,1.16568931,High School,0.369714893,1.539162584,1.018583534,1.16568931,0.104477612,0.722792647,0.329411765,0.369714893,2.557746118,1.16568931,1.525267325,1.902195858,1.312567686,1.131026048,0.793955002,0.591813274,0.596961607,1.904624641,1.357893168,1.101793365,3.427463183,2.443593734,1.982729883,1.837933544,0.123870478,0.383459705,0.086718605,0.070968171,0.053870229,0.136022328,0.145090484,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
46184,2015,12771,0,0,0,-0.341125389,-0.040652896,0,0.176470588,0.498759305,0.947572816,0.895522388,0.65791776,0.286987522,0.786360473,1.236387208,0.296717724,0.782665791,0.115241636,0.760247375,0.677733908,0,0.580691643,1.217391304,2.475247525,0.470437018,1.75,1.333333333,0.867379561,0,0,0,0,0,1.361146396,1.440260277,0.758087614,0.268225907,High School,1.361146396,1.440260277,0.758087614,0.268225907,0.895522388,1.446332121,0.176470588,1.361146396,2.198347891,0.268225907,0.170039649,0.423451622,1.154827555,1.121749062,1.160279078,1.824295928,0.437808587,0.402229158,1.542913166,2.319465406,0.593491271,2.276576617,3.422383593,8.694480384,0.066788539,0.099762093,0.054107548,0.140018868,0.284691829,0.201277123,0.153353999,Medium,0,1,0,Low,1,0,0,FALSE,TRUE,FALSE,Low,TRUE,FALSE,FALSE
47102,2015,6819,0,0,0,-1.067725947,-0.733824811,0,-0.211764706,0.086848635,0.561812298,0.870646766,0.349081365,0.89483066,0.211551844,-0.075626621,-0.000875274,0.479504737,1.73605948,0.149863368,0.295704714,0,0.082132565,-0.086956522,0.069306931,0.033419023,0.5,0.022222222,0.322897145,0,0,0,0,0,2.494108405,1.609402146,0.248791955,-0.606634233,Less than High School,2.494108405,1.609402146,0.248791955,-0.606634233,0.870646766,0.648660933,-0.211764706,2.494108405,1.858194101,-0.606634233,5.870922569,3.026095348,1.62156609,0.506800741,0.715415866,-0.255750473,-0.002959958,2.630890139,0.629368105,0.13504995,8.897017917,2.128366831,0.456705435,0.943021364,0.087095126,0.34240703,0.035438246,-0.092210553,0.07349455,0.530210681,0.023564919,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47060,2015,6654,0,0,0,0.52595649,0.099536001,0,0.117647059,0.245657568,0.08802589,-0.039800995,0.10936133,0.103386809,0.250521921,0.195764909,0.151422319,0.318544227,0.048327138,0.283906228,0.216140225,0,-0.056195965,-0.173913043,0.158415842,0.002570694,0,0.244444444,0.356961746,0,0,0,0,0,-0.363940299,0.804908738,2.246292804,1.075764706,Some College/Associate Degree,-0.363940299,0.804908738,2.246292804,1.075764706,-0.039800995,0.333683458,0.117647059,-0.363940299,3.051201542,1.075764706,0.223591595,0.478332107,1.473785024,1.313527954,1.15907125,0.905731033,0.700574451,0.151713947,0.602450454,0.597709149,0.701923702,2.787312979,2.765376734,0.532283717,-0.10557521,0.67062308,0.004829556,-0.326729971,0.297615419,0,0.459237126,Medium,0,1,0,Medium,0,1,0,FALSE,TRUE,FALSE,Medium,FALSE,TRUE,FALSE
47043,2015,4769,0,0,0,-0.392287792,-0.915938479,0,-0.211764706,-0.027295285,0.064724919,0.223880597,0.02712161,0.278074866,0.100208768,-0.107605877,-0.018380744,0.267141919,0.434944238,0.107291816,0.120662838,0,-0.040345821,0.130434783,0.02970297,-0.017994859,-0.25,-0.066666667,0.147723514,0,0,0,0,0,8.254694271,2.386470404,-1.006403586,-7.807969639,Less than High School,8.254694271,2.386470404,-1.006403586,-7.807969639,0.223880597,0.037429634,-0.211764706,8.254694271,1.380066818,-7.807969639,3.604624631,2.304560964,2.213953555,0.889186913,0.830485756,-0.89178971,-0.152331441,0.713019104,0.374433736,-0.025777853,5.909185596,3.103140468,-0.213635394,-0.067146079,0.600866377,-2.200031875,0.267995672,-1.942552479,-0.442363436,3.723225585,0.992860156,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47042,2015,3655,0,1.337137797,0,-0.186557836,-0.669053395,0.000273598,-0.141176471,0.05707196,0.134627832,-0.099502488,0.028871391,0.158645276,-0.105775922,-0.033275713,0.018380744,0.200356439,-0.111524164,-0.058967352,0.034278536,0,-0.057636888,0.130434783,0.02970297,-0.01285347,-0.25,-0.111111111,0.070334032,0,1,0,0,0.5,-3.446404342,4.663018535,1.97676517,-4.889839572,High School,-3.446404342,4.663018535,1.97676517,-4.889839572,-0.099502488,0.191699792,-0.141176471,-3.446404342,6.639783705,-4.889839572,-3.253469316,4.628122929,5.844953299,-1.720241291,-3.085777161,-0.970744885,0.536217306,0.047121113,0.141389087,-0.120670891,1.374653613,4.124712008,-3.52030474,-0.201129685,0.286565793,-0.349694933,0.063906382,-0.648510849,-0.147680688,1.242979127,0.552435168,Low,1,0,0,Medium,0,1,0,TRUE,FALSE,FALSE,Medium,FALSE,TRUE,FALSE
47041,2015,6005,0,0,0,0.250254811,0.019125233,0,0.082352941,0.270471464,0.289967638,0.164179104,0.21959755,0.237076649,0.190675017,0.035868626,0.209190372,0.31104024,0.133828996,0.112469438,0.166487198,0,0.093659942,0.173913043,-0.01980198,-0.015424165,-0.25,0.022222222,0.221585272,0,0,0,0,0,0.74763632,1.320450238,1.231668858,0.375017577,High School,0.74763632,1.320450238,1.231668858,0.375017577,0.164179104,0.560439102,0.082352941,0.74763632,2.552119096,0.375017577,0.803839562,1.423993267,1.868253199,0.67554406,1.14528336,0.215443747,1.256495242,0.370905645,0.423509678,0.435734015,2.227832829,2.54379726,2.617222349,0.226154335,0.414141707,0.979796702,-0.068201941,0.769001591,-0.087559587,-1.105439787,0.098261314,Medium,0,1,0,Medium,0,1,0,FALSE,TRUE,FALSE,Medium,FALSE,TRUE,FALSE
47040,2015,5367,0,0,0,-0.209795945,-0.700520527,0,-0.211764706,0.163771712,-0.077669903,0.064676617,0.018372703,0.306595365,0.027835769,0.012532411,0.000875274,0.343682581,0.293680297,0.071048468,0.146625987,0,-0.047550432,0.043478261,0.168316832,-0.002570694,-0.25,0.066666667,0.167897696,0,0,0,0,0,3.520255864,-4.227461859,8.913860333,-11.52605042,Some College/Associate Degree,3.520255864,-4.227461859,8.913860333,-11.52605042,0.064676617,0.086101809,-0.211764706,3.520255864,4.686398475,-11.52605042,2.002921196,2.091002908,2.343940445,0.484555771,0.189841989,0.085471966,0.00596943,0.600275663,0.41473105,0.041243454,4.093924104,2.828496216,0.281283384,0.146238329,-0.325157109,1.148110057,-0.017578798,0.29731098,1.150976171,-1.709538136,0.455876836,Low,1,0,0,Medium,0,1,0,TRUE,FALSE,FALSE,Medium,FALSE,TRUE,FALSE
46201,2015,31680,0,0.154268897,0,-1.387979572,-1.591775208,0,1.411764706,1.846153846,2.242071197,5.233830846,2.42519685,6.743315508,1.099512874,1.42653414,1.154485777,2.093987431,6.695167286,1.750898893,2.05892558,0.797979798,8.46685879,3.826086957,1.524752475,18.14652956,2.5,3.488888889,1.404586043,0,0,2.5,0,0.5,2.158105576,0.924490396,0.761238761,0.582123759,Less than High School,2.158105576,0.924490396,0.761238761,0.582123759,5.233830846,4.088225044,1.411764706,2.158105576,1.685729158,0.582123759,3.251777213,3.275162334,1.017029198,0.850394453,0.53402264,0.692853668,0.560722441,13.43848279,3.844886323,3.680532791,6.526939547,1.867423651,1.787598749,39.35770272,0.215125838,0.035687704,0.461066788,0.097213168,0.038740891,0.063519968,0.088645644,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47037,2015,4352,0,0,0,-0.24945671,-0.764161387,0,0.164705882,0.114143921,0.00776699,0.199004975,0.081364829,0.34402852,-0.008350731,-0.06525497,-0.160175055,0.184598068,0.271375465,-0.056090896,0.046362766,0,-0.100864553,-0.173913043,0.00990099,-0.023136247,-0.25,-0.066666667,0.057766509,0,0,0,0,0,2.445835339,0.095458816,1.402865605,2.024288425,Less than High School,2.445835339,0.095458816,1.402865605,2.024288425,0.199004975,0.121910911,0.164705882,2.445835339,1.498324421,2.024288425,5.853306152,7.420362256,3.981601678,-1.209826346,-0.18011718,-1.407486548,-3.454820922,0.615403985,0.128507172,-0.233780755,13.27366841,2.771775332,-5.042424649,-0.546913011,0.184425222,-0.105622846,0.042303339,0.31799032,-0.018103409,0.457111085,0.121896289,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
